Date,Open,High,Low,Close,Volume
2015-07-13,74.07,74.19,73.88,74.12,29653.0
2015-07-10,74.29,74.49,74.17,74.46,48604.0
2015-07-09,74.59,74.59,74.26,74.5,15438.0
2015-07-08,74.3,74.48,74.2,74.29,23310.0
2015-07-07,74.13,74.73,74.01,74.51,277290.0
2015-07-06,75.1,75.3,74.95,74.98,99756.0
2015-07-02,76.2,76.37,76.16,76.29,58231.0
2015-07-01,76.59,76.75,76.44,76.48,21130.0
2015-06-30,77.15,77.29,76.94,77.19,10217.0
2015-06-29,76.54,77.15,76.52,76.93,66456.0
2015-06-26,76.58,76.63,76.49,76.61,18856.0
2015-06-25,77.47,77.6,77.43,77.48,32377.0
2015-06-24,77.25,77.25,76.9,77.11,123393.0
2015-06-23,77.03,77.56,77.03,77.4,37167.0
2015-06-22,77.8,77.87,77.27,77.31,62524.0
2015-06-19,77.65,77.78,77.48,77.74,98771.0
2015-06-18,78.4,78.47,78.02,78.03,85008.0
2015-06-17,76.95,77.65,76.51,77.41,32034.0
2015-06-16,77.65,77.67,77.45,77.46,12957.0
2015-06-15,77.68,77.77,77.59,77.7,10359.0
2015-06-12,76.94,77.47,76.94,77.35,8079.0
2015-06-11,77.27,77.68,77.18,77.68,5313.0
2015-06-10,77.61,77.69,77.45,77.65,9693.0
2015-06-09,77.07,77.09,76.76,76.86,4711.0
2015-06-08,76.5,77.09,76.34,77.07,17223.0
2015-06-05,76.07,76.58,76.07,76.26,29017.0
2015-06-04,76.96,77.04,76.68,76.82,25634.0
2015-06-03,77.77,78.14,77.73,77.85,23949.0
2015-06-02,77.38,77.9,77.33,77.69,67242.0
2015-06-01,76.53,76.53,76.0,76.05,25191.0
2015-05-29,76.44,76.71,76.44,76.56,54375.0
2015-05-28,76.43,76.62,76.26,76.58,85277.0
2015-05-27,77.11,77.36,77.1,77.36,13664.0
2015-05-26,77.98,77.98,77.32,77.37,234273.0
2015-05-22,78.4,78.42,78.17,78.26,23191.0
2015-05-21,78.78,79.0,78.78,78.99,91663.0
2015-05-20,78.9,79.16,78.72,78.9,29226.0
2015-05-19,79.37,79.47,79.15,79.23,35135.0
2015-05-18,80.03,80.15,79.82,79.89,45019.0
2015-05-15,80.22,80.7,80.12,80.48,41758.0
2015-05-14,81.34,81.39,80.72,80.84,25639.0
2015-05-13,80.94,81.24,80.92,81.06,54983.0
2015-05-12,79.56,80.04,79.54,79.92,56818.0
2015-05-11,79.04,79.17,78.93,79.04,17406.0
2015-05-08,79.6,79.61,79.0,79.33,53916.0
2015-05-07,79.59,79.59,79.0,79.06,13447.0
2015-05-06,80.18,80.31,79.66,79.81,88414.0
2015-05-05,79.1,79.53,78.96,79.47,22590.0
2015-05-04,78.34,78.51,78.34,78.46,8507.0
2015-05-01,78.68,78.68,78.09,78.41,68917.0
2015-04-30,78.96,79.29,78.73,79.28,70132.0
2015-04-29,80.39,80.8,80.19,80.29,72828.0
2015-04-28,79.41,80.31,79.41,80.22,96160.0
2015-04-27,78.4,78.79,78.25,78.63,75664.0
2015-04-24,78.22,78.51,78.05,78.37,19996.0
2015-04-23,77.34,77.98,77.34,77.88,66128.0
2015-04-22,77.81,77.85,77.61,77.74,19077.0
2015-04-21,77.28,77.59,77.14,77.16,40246.0
2015-04-20,77.72,77.76,77.17,77.28,99383.0
2015-04-17,77.88,77.96,77.68,77.86,102244.0
2015-04-16,77.99,78.27,77.72,77.97,75735.0
2015-04-15,76.3,77.0,76.1,76.81,16022.0
2015-04-14,76.28,76.51,76.23,76.29,38063.0
2015-04-13,75.97,76.02,75.65,75.96,47299.0
2015-04-10,76.71,76.99,76.71,76.88,29543.0
2015-04-09,77.29,77.29,76.9,76.97,36942.0
2015-04-08,77.13,77.25,76.84,76.92,78482.0
2015-04-07,76.53,76.57,76.38,76.4,32259.0
2015-04-06,76.38,76.68,75.89,76.07,66608.0
2015-04-02,75.76,76.1,75.64,75.81,76018.0
2015-04-01,76.2,76.31,75.99,76.0,51574.0
2015-03-31,76.17,76.43,76.1,76.28,138923.0
2015-03-30,76.68,76.76,76.44,76.52,68751.0
2015-03-27,78.13,78.13,77.6,77.68,28668.0
2015-03-26,78.61,78.61,78.22,78.26,20157.0
2015-03-25,79.0,79.0,78.46,78.51,15118.0
2015-03-24,79.03,79.03,78.72,78.85,21250.0
2015-03-23,78.43,79.08,78.35,78.96,46348.0
2015-03-20,77.24,78.08,77.24,77.83,56048.0
2015-03-19,76.5,76.6,76.2,76.36,47559.0
2015-03-18,76.35,78.03,76.34,77.91,193112.0
2015-03-17,76.4,76.4,76.11,76.2,10934.0
2015-03-16,76.69,76.82,76.42,76.48,48884.0
2015-03-13,76.66,76.66,76.14,76.33,21630.0
2015-03-12,77.11,77.19,76.86,77.01,63847.0
2015-03-11,76.0,76.12,75.65,75.76,59242.0
2015-03-10,76.7,76.82,76.12,76.2,58518.0
2015-03-09,77.34,77.35,77.09,77.1,90164.0
2015-03-06,77.5,77.5,77.11,77.21,88726.0
2015-03-05,77.99,77.99,77.55,77.7,149868.0
2015-03-04,78.41,78.41,78.07,78.26,18989.0
2015-03-03,78.22,78.45,78.13,78.13,124648.0
2015-03-02,77.85,77.85,77.66,77.68,18225.0
2015-02-27,78.14,78.36,78.14,78.23,17466.0
2015-02-26,78.51,78.55,77.97,78.0,35769.0
2015-02-25,78.98,79.07,78.9,78.98,27470.0
2015-02-24,77.75,78.41,77.51,78.39,76260.0
2015-02-23,78.12,78.19,77.97,78.09,35349.0
2015-02-20,78.4,78.52,78.25,78.49,52252.0
2015-02-19,77.93,78.16,77.87,77.96,16384.0
2015-02-18,77.98,78.37,77.78,78.29,87814.0
2015-02-17,78.12,78.32,77.99,78.23,89577.0
2015-02-13,77.7,77.82,77.63,77.69,19720.0
2015-02-12,76.88,77.82,76.88,77.46,38308.0
2015-02-11,77.44,77.44,76.96,77.09,49199.0
2015-02-10,77.64,77.94,77.55,77.72,51193.0
2015-02-09,78.1,78.37,78.1,78.12,28523.0
2015-02-06,77.97,78.32,77.83,78.06,56268.0
2015-02-05,77.9,78.23,77.86,78.22,83606.0
2015-02-04,77.75,77.98,77.45,77.81,91026.0
2015-02-03,76.94,78.45,76.89,78.05,189549.0
2015-02-02,78.04,78.31,77.98,78.06,19699.0
2015-01-30,77.6,78.05,77.5,77.97,128784.0
2015-01-29,77.91,78.11,77.35,77.79,173891.0
2015-01-28,79.81,80.0,79.1,79.17,46627.0
2015-01-27,79.65,79.8,79.33,79.5,15201.0
2015-01-26,79.27,79.43,79.24,79.31,49977.0
2015-01-23,79.25,79.67,79.17,79.29,147102.0
2015-01-22,81.02,81.31,80.21,80.29,161358.0
2015-01-21,82.3,82.39,80.87,80.99,247106.0
2015-01-20,82.01,82.07,81.77,81.83,158208.0
2015-01-16,81.86,82.46,81.8,82.44,302060.0
2015-01-15,82.43,82.47,82.15,82.3,156088.0
2015-01-14,81.58,81.74,81.47,81.61,127572.0
2015-01-13,81.51,81.75,81.4,81.7,27046.0
2015-01-12,81.44,81.76,81.44,81.64,56150.0
2015-01-09,81.72,82.12,81.72,82.09,43567.0
2015-01-08,81.04,81.35,81.02,81.18,59743.0
2015-01-07,80.53,80.85,80.4,80.74,71419.0
2015-01-06,81.16,81.36,80.96,80.99,138292.0
2015-01-05,80.8,81.03,80.79,80.91,26014.0
2015-01-02,81.07,81.31,80.97,80.98,32958.0
2014-12-31,81.86,82.01,81.69,81.73,77974.0
2014-12-30,82.0,82.1,81.89,81.99,117672.0
2014-12-29,81.47,81.58,81.36,81.44,45440.0
2014-12-26,81.32,81.34,81.17,81.31,38236.0
2014-12-24,81.14,81.21,81.14,81.17,17228.0
2014-12-23,81.13,81.19,80.96,81.04,52688.0
2014-12-22,81.45,81.51,81.36,81.41,58528.0
2014-12-19,81.77,81.82,81.28,81.54,110122.0
2014-12-18,81.83,81.95,81.56,81.68,108371.0
2014-12-17,81.95,82.46,81.17,81.37,277487.0
2014-12-16,82.39,82.41,82.13,82.26,72436.0
2014-12-15,82.1,82.39,82.07,82.13,111907.0
2014-12-12,82.62,82.87,82.37,82.6,82664.0
2014-12-11,82.79,82.81,82.53,82.64,30865.0
2014-12-10,83.19,83.33,82.93,83.29,55639.0
2014-12-09,83.06,83.68,82.95,82.98,51973.0
2014-12-08,83.09,83.18,82.92,82.93,39587.0
2014-12-05,83.44,83.44,83.19,83.28,104955.0
2014-12-04,83.8,84.16,83.66,83.85,60003.0
2014-12-03,84.24,84.3,83.98,84.04,73839.0
2014-12-02,84.47,84.61,84.33,84.45,40041.0
2014-12-01,85.14,85.31,84.84,85.0,26596.0
2014-11-28,85.19,85.5,85.13,85.22,43282.0
2014-11-26,85.19,85.68,85.14,85.62,75962.0
2014-11-25,85.4,85.62,85.24,85.43,104448.0
2014-11-24,86.38,86.39,86.13,86.21,88028.0
2014-11-21,87.03,87.09,86.72,86.76,15481.0
2014-11-20,86.17,86.46,86.12,86.38,33110.0
2014-11-19,86.53,86.58,86.13,86.21,77613.0
2014-11-18,87.38,87.42,87.26,87.31,15864.0
2014-11-17,87.28,87.28,87.07,87.23,49266.0
2014-11-14,86.79,87.84,86.74,87.67,163670.0
2014-11-13,87.46,87.54,87.21,87.22,81417.0
2014-11-12,87.23,87.5,87.14,87.22,31764.0
2014-11-11,86.5,87.13,86.43,86.99,20480.0
2014-11-10,86.62,86.65,86.13,86.22,27683.0
2014-11-07,86.25,86.58,86.14,86.4,29024.0
2014-11-06,86.02,86.1,85.66,85.7,65260.0
2014-11-05,85.95,85.98,85.65,85.96,116813.0
2014-11-04,87.19,87.44,87.15,87.37,52709.0
2014-11-03,87.04,87.15,86.83,86.91,76264.0
2014-10-31,87.94,88.17,87.78,88.15,105694.0
2014-10-30,88.14,88.5,88.13,88.43,47691.0
2014-10-29,88.98,89.23,88.01,88.11,63038.0
2014-10-28,88.76,88.79,88.58,88.71,52448.0
2014-10-27,88.03,88.23,88.03,88.14,33040.0
2014-10-24,88.21,88.31,88.06,88.06,40358.0
2014-10-23,87.87,87.88,87.61,87.63,69172.0
2014-10-22,87.93,88.21,87.83,87.83,86013.0
2014-10-21,88.21,88.28,87.84,87.88,63687.0
