Date,Open,High,Low,Close,Volume
2015-07-13,152.31,152.44,151.86,151.87,12725.0
2015-07-10,152.08,152.26,151.79,152.14,37955.0
2015-07-09,151.0,151.05,150.51,150.82,9307.0
2015-07-08,150.64,150.67,150.37,150.61,12516.0
2015-07-07,151.42,151.86,151.18,151.67,46753.0
2015-07-06,152.5,153.24,152.5,153.03,80126.0
2015-07-02,153.08,153.12,152.97,153.04,14948.0
2015-07-01,153.23,153.38,152.91,153.15,22696.0
2015-06-30,154.53,154.6,154.05,154.06,42955.0
2015-06-29,154.08,154.82,153.81,154.25,45963.0
2015-06-26,154.41,154.51,154.19,154.37,5258.0
2015-06-25,154.36,154.36,154.25,154.35,4403.0
2015-06-24,154.33,154.4,153.77,153.93,5651.0
2015-06-23,154.32,154.54,154.08,154.28,52535.0
2015-06-22,155.28,155.32,155.06,155.1,12772.0
2015-06-19,155.86,155.86,155.59,155.66,14184.0
2015-06-18,155.94,156.04,155.52,155.83,88692.0
2015-06-17,154.3,155.36,153.91,155.33,51245.0
2015-06-16,153.15,153.51,153.15,153.41,5840.0
2015-06-15,152.29,153.11,152.29,153.04,3344.0
2015-06-12,152.05,152.78,152.04,152.43,10960.0
2015-06-11,151.93,152.22,151.93,152.21,3563.0
2015-06-10,152.24,152.54,152.1,152.41,49773.0
2015-06-09,150.26,150.93,149.7,150.9,28864.0
2015-06-08,149.85,150.55,149.73,150.52,16155.0
2015-06-05,149.22,149.79,149.18,149.77,9343.0
2015-06-04,150.71,151.01,150.61,150.7,13988.0
2015-06-03,150.26,150.61,150.2,150.33,8957.0
2015-06-02,149.93,150.68,149.93,150.48,42259.0
2015-06-01,149.71,150.08,148.83,149.04,46953.0
2015-05-29,149.83,150.06,149.6,149.96,14104.0
2015-05-28,149.97,150.33,149.87,150.16,25057.0
2015-05-27,150.46,150.68,150.16,150.52,17123.0
2015-05-26,150.87,151.09,150.72,150.88,38831.0
2015-05-22,152.2,152.2,151.67,151.82,65367.0
2015-05-21,153.68,153.9,153.49,153.66,34281.0
2015-05-20,152.46,152.67,152.27,152.45,44563.0
2015-05-19,152.03,152.34,151.99,152.11,48794.0
2015-05-18,154.03,154.03,153.47,153.52,10073.0
2015-05-15,154.35,154.96,154.34,154.38,15189.0
2015-05-14,155.0,155.0,154.46,154.73,26286.0
2015-05-13,153.91,154.51,153.91,154.4,23244.0
2015-05-12,153.5,154.01,153.5,153.77,15080.0
2015-05-11,152.13,153.08,152.13,152.97,20853.0
2015-05-08,151.24,151.73,150.76,151.66,40870.0
2015-05-07,149.24,149.81,148.88,149.76,7609.0
2015-05-06,149.4,149.95,149.39,149.64,15180.0
2015-05-05,148.7,149.13,148.7,148.83,10086.0
2015-05-04,148.39,148.42,148.31,148.38,16688.0
2015-05-01,149.33,149.33,148.43,148.58,14233.0
2015-04-30,150.72,150.86,150.39,150.66,9543.0
2015-04-29,151.12,152.05,151.12,151.39,40966.0
2015-04-28,150.12,150.46,150.11,150.35,15755.0
2015-04-27,148.62,149.72,148.62,149.42,19508.0
2015-04-24,148.69,148.96,148.35,148.95,28249.0
2015-04-23,147.1,147.85,147.1,147.76,10206.0
2015-04-22,147.65,147.69,147.32,147.57,11991.0
2015-04-21,145.97,146.9,145.9,146.5,19244.0
2015-04-20,146.21,146.42,146.14,146.28,19061.0
2015-04-17,146.94,147.05,146.55,146.85,12379.0
2015-04-16,146.34,146.83,146.11,146.57,14778.0
2015-04-15,145.1,145.71,144.88,145.71,24779.0
2015-04-14,145.06,145.21,144.98,145.01,3071.0
2015-04-13,143.68,144.01,143.6,144.0,40862.0
2015-04-10,143.73,143.87,143.59,143.71,32816.0
2015-04-09,145.14,145.15,144.12,144.29,75690.0
2015-04-08,146.79,146.79,145.99,146.13,12047.0
2015-04-07,146.01,146.34,145.44,145.48,6527.0
2015-04-06,146.82,146.99,145.96,146.09,276091.0
2015-04-02,145.56,145.64,145.44,145.5,17038.0
2015-04-01,145.35,145.62,144.92,145.49,23459.0
2015-03-31,145.23,145.82,145.15,145.61,16150.0
2015-03-30,145.26,145.44,145.1,145.21,6551.0
2015-03-27,146.19,146.41,145.89,146.04,34416.0
2015-03-26,145.45,145.94,145.42,145.76,46970.0
2015-03-25,146.3,146.38,145.92,145.92,39991.0
2015-03-24,146.26,146.26,145.72,145.73,11175.0
2015-03-23,146.57,146.97,146.24,146.92,66949.0
2015-03-20,146.03,147.12,145.77,146.71,80856.0
2015-03-19,145.58,145.58,144.21,144.53,30978.0
2015-03-18,143.9,146.73,143.84,146.73,198519.0
2015-03-17,144.59,144.98,144.59,144.7,29831.0
2015-03-16,145.4,145.72,145.03,145.58,5019.0
2015-03-13,144.96,144.96,144.33,144.68,26377.0
2015-03-12,146.88,146.88,145.83,146.09,7201.0
2015-03-11,147.25,147.25,146.25,146.57,13885.0
2015-03-10,148.04,148.22,147.82,147.89,13112.0
2015-03-09,148.41,148.59,148.24,148.53,7767.0
2015-03-06,148.1,148.12,147.54,147.72,50765.0
2015-03-05,149.55,149.64,149.42,149.52,6225.0
2015-03-04,150.33,150.33,149.72,149.83,12148.0
2015-03-03,150.78,151.02,150.78,150.85,10534.0
2015-03-02,151.04,151.07,150.72,150.85,31183.0
2015-02-27,151.14,151.73,151.14,151.56,5155.0
2015-02-26,151.58,151.58,151.18,151.26,6803.0
2015-02-25,152.08,152.45,152.07,152.45,8198.0
2015-02-24,151.5,151.76,151.22,151.76,137836.0
2015-02-23,151.39,151.84,151.31,151.78,18239.0
2015-02-20,150.83,151.33,150.76,151.05,41902.0
2015-02-19,151.41,151.63,151.28,151.28,9742.0
2015-02-18,151.61,151.9,151.35,151.64,15939.0
2015-02-17,150.74,150.91,150.36,150.79,9829.0
2015-02-13,151.21,151.37,151.03,151.21,15135.0
2015-02-12,150.88,151.2,150.67,151.2,15049.0
