Date,Open,High,Low,Close,Volume
2015-07-13,77.88,78.08,77.71,78.03,42811.0
2015-07-10,78.07,78.37,77.95,78.36,23048.0
2015-07-09,78.26,78.31,78.0,78.24,41900.0
2015-07-08,77.99,78.17,77.93,78.05,110568.0
2015-07-07,77.95,78.39,77.79,78.2,69011.0
2015-07-06,78.59,78.81,78.48,78.54,59475.0
2015-07-02,78.99,79.24,78.98,79.24,13821.0
2015-07-01,79.32,79.34,78.9,78.98,67449.0
2015-06-30,79.97,79.97,79.55,79.58,57013.0
2015-06-29,80.2,80.37,80.1,80.23,35841.0
2015-06-26,80.33,80.71,80.28,80.71,9243.0
2015-06-25,80.55,80.68,80.46,80.65,12215.0
2015-06-24,80.41,80.42,80.04,80.19,19211.0
2015-06-23,80.4,80.7,80.31,80.59,62314.0
2015-06-22,81.18,81.18,80.61,80.67,39205.0
2015-06-19,81.06,81.18,80.86,81.0,31946.0
2015-06-18,81.81,81.9,81.21,81.28,54371.0
2015-06-17,80.78,81.31,80.5,81.25,17146.0
2015-06-16,80.67,80.79,80.52,80.76,57001.0
2015-06-15,80.58,80.82,80.53,80.73,24338.0
2015-06-12,80.57,80.88,80.49,80.74,18204.0
2015-06-11,80.85,80.99,80.64,80.98,16581.0
2015-06-10,81.4,81.46,80.92,81.08,40027.0
2015-06-09,80.58,80.75,80.48,80.54,45613.0
2015-06-08,80.05,80.2,79.85,80.2,33017.0
2015-06-05,79.23,79.93,79.14,79.91,33767.0
2015-06-04,79.59,79.78,79.52,79.53,28287.0
2015-06-03,79.71,80.06,79.67,79.81,44262.0
2015-06-02,79.8,80.3,79.68,80.12,43996.0
2015-06-01,79.74,79.74,79.13,79.33,64203.0
2015-05-29,79.43,79.95,79.42,79.92,60761.0
2015-05-28,79.5,80.05,79.28,79.98,36216.0
2015-05-27,79.77,79.95,79.59,79.81,68015.0
2015-05-26,80.13,80.13,79.92,79.99,85792.0
2015-05-22,81.0,81.04,80.7,80.84,141762.0
2015-05-21,81.39,81.53,81.27,81.42,20232.0
2015-05-20,81.38,81.63,81.27,81.49,18506.0
2015-05-19,81.3,81.42,81.15,81.29,63567.0
2015-05-18,82.08,82.08,81.69,81.75,149806.0
2015-05-15,82.59,82.88,82.4,82.69,38535.0
2015-05-14,83.37,83.38,82.81,82.83,53757.0
2015-05-13,83.03,83.28,83.0,83.05,63736.0
2015-05-12,82.47,82.97,82.41,82.72,73042.0
2015-05-11,82.23,82.41,82.08,82.11,30546.0
2015-05-08,82.32,82.4,81.94,82.22,46838.0
2015-05-07,82.14,82.2,81.74,82.02,27327.0
2015-05-06,82.77,83.22,82.48,82.58,50469.0
2015-05-05,82.53,82.83,82.35,82.38,58675.0
2015-05-04,82.06,82.25,81.99,82.23,44244.0
2015-05-01,82.08,82.11,81.5,81.78,84256.0
2015-04-30,82.36,82.47,81.95,82.43,105221.0
2015-04-29,82.89,83.22,82.6,82.69,79806.0
2015-04-28,82.29,82.75,82.29,82.66,70743.0
2015-04-27,81.91,82.29,81.91,82.2,58468.0
2015-04-24,81.97,81.97,81.6,81.72,102777.0
2015-04-23,81.3,82.02,81.3,81.87,94018.0
2015-04-22,81.25,81.33,81.04,81.29,63031.0
2015-04-21,81.09,81.12,80.82,80.95,21455.0
2015-04-20,81.27,81.56,81.19,81.3,39018.0
2015-04-17,81.99,81.99,81.05,81.33,88882.0
2015-04-16,81.3,81.87,81.13,81.65,98666.0
2015-04-15,79.35,80.92,79.29,80.85,66065.0
2015-04-14,79.62,79.84,79.56,79.58,70024.0
2015-04-13,78.94,79.03,78.86,78.97,25875.0
2015-04-10,79.02,79.07,78.87,79.02,16450.0
2015-04-09,79.23,79.23,78.85,78.95,78191.0
2015-04-08,80.1,80.1,79.18,79.27,72137.0
2015-04-07,79.47,79.74,79.47,79.51,42296.0
2015-04-06,79.77,79.91,79.54,79.67,74786.0
2015-04-02,78.93,79.14,78.91,79.13,27237.0
2015-04-01,78.63,79.05,78.5,78.74,50905.0
2015-03-31,78.12,78.57,78.06,78.5,34307.0
2015-03-30,78.57,78.71,78.3,78.36,18000.0
2015-03-27,79.65,79.65,78.87,78.87,64818.0
2015-03-26,80.01,80.01,79.6,79.73,57863.0
2015-03-25,79.57,79.64,79.23,79.43,21232.0
2015-03-24,79.62,79.62,79.36,79.53,26042.0
2015-03-23,79.44,79.57,79.24,79.56,73422.0
2015-03-20,78.66,79.23,78.56,79.03,109418.0
2015-03-19,78.18,78.24,77.94,78.15,45569.0
2015-03-18,77.62,79.2,77.62,79.11,86962.0
2015-03-17,77.78,77.95,77.78,77.85,31817.0
2015-03-16,77.88,78.05,77.61,77.82,48338.0
2015-03-13,78.12,78.12,77.52,77.75,66869.0
2015-03-12,78.6,78.66,78.24,78.28,31895.0
2015-03-11,78.21,78.31,77.68,77.93,105893.0
2015-03-10,78.72,78.82,78.38,78.43,69067.0
2015-03-09,78.96,79.05,78.87,78.95,29777.0
2015-03-06,78.93,78.96,78.73,78.87,66428.0
2015-03-05,79.79,79.86,79.45,79.52,23365.0
2015-03-04,79.48,80.12,79.22,80.05,124342.0
2015-03-03,79.72,79.92,79.6,79.6,26780.0
2015-03-02,79.49,79.49,79.14,79.33,53636.0
2015-02-27,79.53,79.68,79.37,79.53,12838.0
2015-02-26,79.61,79.77,79.32,79.37,57577.0
2015-02-25,80.08,80.08,79.8,80.02,84623.0
2015-02-24,78.81,79.67,78.56,79.54,122983.0
2015-02-23,79.08,79.25,78.9,79.06,304770.0
2015-02-20,79.38,79.51,79.13,79.27,59428.0
2015-02-19,79.34,79.69,79.3,79.53,48986.0
2015-02-18,79.88,80.25,79.8,80.1,56673.0
2015-02-17,80.16,80.39,79.88,80.35,64687.0
2015-02-13,79.7,80.0,79.62,79.78,28904.0
2015-02-12,79.34,79.88,79.34,79.59,68659.0
2015-02-11,78.66,78.81,78.33,78.63,30336.0
2015-02-10,79.42,79.48,78.77,79.04,48887.0
2015-02-09,79.77,79.98,79.75,79.79,21751.0
2015-02-06,79.71,79.8,79.24,79.4,38546.0
2015-02-05,79.51,80.22,79.5,80.02,64283.0
2015-02-04,79.65,79.71,78.98,79.16,81154.0
2015-02-03,79.31,80.48,79.27,80.18,302088.0
2015-02-02,78.76,79.18,78.74,79.02,95403.0
2015-01-30,78.02,78.48,77.8,78.22,118273.0
2015-01-29,79.22,79.27,78.43,78.85,404952.0
2015-01-28,80.0,80.0,79.31,79.42,88589.0
2015-01-27,80.07,80.32,80.01,80.19,85118.0
2015-01-26,79.84,80.16,79.78,79.78,103145.0
2015-01-23,80.04,80.28,79.95,80.0,63336.0
2015-01-22,80.37,80.67,80.17,80.19,201339.0
2015-01-21,82.43,82.43,80.25,80.64,501490.0
2015-01-20,82.6,82.6,82.08,82.14,538949.0
2015-01-16,82.74,83.11,82.63,83.1,60877.0
2015-01-15,83.51,83.51,83.01,83.13,176734.0
2015-01-14,83.26,83.34,82.83,83.25,123701.0
2015-01-13,83.13,83.35,83.06,83.16,223129.0
2015-01-12,83.46,83.51,83.08,83.08,205319.0
2015-01-09,83.76,83.98,83.71,83.84,164167.0
2015-01-08,84.0,84.24,83.95,84.02,190658.0
2015-01-07,83.87,84.14,83.8,84.09,170513.0
2015-01-06,84.45,84.6,84.06,84.06,102452.0
2015-01-05,84.42,84.63,84.25,84.63,25023.0
2015-01-02,85.05,85.05,84.52,84.54,49797.0
2014-12-31,85.69,85.92,85.5,85.54,75144.0
2014-12-30,85.58,85.72,85.51,85.67,141587.0
2014-12-29,85.46,85.6,85.35,85.49,43506.0
2014-12-26,85.56,85.65,85.48,85.49,26916.0
2014-12-24,85.62,85.66,85.41,85.5,33627.0
2014-12-23,85.26,85.68,85.23,85.53,89222.0
2014-12-22,85.56,85.59,85.36,85.41,180237.0
2014-12-19,85.68,85.75,85.5,85.7,80849.0
2014-12-18,85.53,85.81,85.53,85.7,124970.0
2014-12-17,85.41,85.99,85.19,85.42,157170.0
2014-12-16,85.5,85.59,85.41,85.47,79329.0
2014-12-15,85.71,85.79,85.29,85.29,208825.0
2014-12-12,86.04,86.32,85.87,85.94,72094.0
2014-12-11,86.22,86.34,86.1,86.26,140359.0
2014-12-10,86.73,86.74,86.48,86.64,63453.0
2014-12-09,86.83,87.16,86.82,86.95,57877.0
2014-12-08,86.83,86.89,86.59,86.62,166079.0
2014-12-05,87.13,87.13,86.68,86.97,100789.0
2014-12-04,87.3,87.44,87.28,87.39,54783.0
2014-12-03,87.32,87.6,87.09,87.46,83792.0
2014-12-02,87.42,87.42,87.1,87.22,183088.0
2014-12-01,87.42,87.86,87.36,87.75,38418.0
2014-11-28,87.2,87.24,86.9,86.95,81472.0
2014-11-26,88.38,88.56,88.33,88.5,31230.0
2014-11-25,88.3,88.51,88.26,88.36,44503.0
2014-11-24,88.35,88.4,87.94,88.08,79332.0
2014-11-21,88.5,88.6,88.39,88.49,68877.0
2014-11-20,87.82,88.04,87.82,87.93,25238.0
2014-11-19,87.63,87.87,87.55,87.6,109520.0
2014-11-18,87.97,88.04,87.87,87.99,57507.0
2014-11-17,87.87,88.04,87.78,88.02,76448.0
2014-11-14,87.57,88.26,87.57,88.16,125133.0
2014-11-13,87.92,87.92,87.39,87.4,92520.0
2014-11-12,87.97,88.16,87.81,87.89,125546.0
2014-11-11,87.47,87.81,87.42,87.76,83518.0
2014-11-10,87.9,87.92,87.34,87.41,83729.0
2014-11-07,87.51,87.83,87.49,87.73,85949.0
2014-11-06,87.14,87.25,86.94,87.03,55640.0
2014-11-05,86.97,87.4,86.82,87.31,64049.0
2014-11-04,87.17,87.29,87.05,87.14,65135.0
2014-11-03,88.0,88.04,87.4,87.54,163576.0
2014-10-31,88.14,88.27,87.75,88.24,130904.0
2014-10-30,88.92,88.98,88.78,88.92,86169.0
2014-10-29,89.34,89.43,88.63,88.87,71801.0
2014-10-28,88.75,89.04,88.75,89.02,78328.0
2014-10-27,88.45,88.6,88.38,88.49,105467.0
2014-10-24,88.77,88.81,88.49,88.56,47325.0
2014-10-23,88.48,88.58,88.34,88.55,33453.0
2014-10-22,88.17,88.92,88.02,88.46,346371.0
2014-10-21,88.68,88.75,88.5,88.58,85000.0
2014-10-20,88.15,88.32,88.1,88.16,153555.0
2014-10-17,88.47,88.65,88.14,88.14,124742.0
2014-10-16,87.7,88.57,87.7,88.39,93023.0
2014-10-15,88.04,88.57,87.77,88.35,146413.0
2014-10-14,88.58,88.64,87.9,87.94,104789.0
2014-10-13,88.83,88.88,88.7,88.75,12806.0
2014-10-10,88.86,89.0,88.63,88.67,61909.0
2014-10-09,89.46,89.66,89.0,89.03,66973.0
2014-10-08,88.94,89.6,88.71,89.55,31241.0
2014-10-07,89.14,89.15,88.82,89.03,104039.0
2014-10-06,88.63,89.46,88.61,89.32,94725.0
2014-10-03,88.52,88.57,88.25,88.32,72990.0
2014-10-02,89.27,89.27,89.0,89.1,34749.0
2014-10-01,88.82,89.08,88.81,89.01,60967.0
2014-09-30,88.92,89.01,88.64,88.79,57187.0
2014-09-29,89.16,89.3,89.08,89.15,20475.0
2014-09-26,89.42,89.49,89.03,89.14,52307.0
