Date,Open,High,Low,Close,Volume
2015-07-13,78.61,78.71,78.61,78.66,41595.0
2015-07-10,79.16,79.23,79.01,79.03,128933.0
2015-07-09,79.98,80.1,79.93,80.03,38216.0
2015-07-08,80.15,80.63,80.08,80.46,296785.0
2015-07-07,79.33,79.57,79.21,79.25,196870.0
2015-07-06,79.19,79.37,79.0,79.28,61313.0
2015-07-02,78.84,78.93,78.84,78.91,35770.0
2015-07-01,78.94,79.01,78.79,78.85,133548.0
2015-06-30,79.3,79.61,79.3,79.35,214433.0
2015-06-29,79.04,79.33,78.97,79.29,209098.0
2015-06-26,78.42,78.46,78.34,78.42,246140.0
2015-06-25,78.56,78.61,78.53,78.58,15435.0
2015-06-24,78.22,78.47,78.1,78.42,71369.0
2015-06-23,78.26,78.53,78.23,78.39,106089.0
2015-06-22,78.86,78.95,78.68,78.71,159480.0
2015-06-19,79.25,79.25,79.1,79.17,251540.0
2015-06-18,79.12,79.16,78.87,79.03,239424.0
2015-06-17,78.34,78.84,78.09,78.68,363863.0
2015-06-16,78.68,78.76,78.65,78.7,215232.0
2015-06-15,78.72,78.74,78.62,78.7,34670.0
2015-06-12,78.51,78.86,78.47,78.71,54087.0
2015-06-11,78.57,78.73,78.51,78.72,148080.0
2015-06-10,79.13,79.25,79.02,79.24,358375.0
2015-06-09,78.25,78.25,78.08,78.12,14662.0
2015-06-08,77.6,78.13,77.48,78.09,179535.0
2015-06-05,77.24,77.47,77.19,77.29,261350.0
2015-06-04,78.03,78.17,77.93,78.11,48173.0
2015-06-03,77.99,78.32,77.99,78.18,252844.0
2015-06-02,78.08,78.48,78.04,78.26,190042.0
2015-06-01,78.36,78.39,77.76,77.81,180079.0
2015-05-29,78.31,78.49,78.25,78.25,94145.0
2015-05-28,78.16,78.58,78.07,78.33,292382.0
2015-05-27,78.55,78.68,78.3,78.48,271980.0
2015-05-26,78.88,79.06,78.78,78.87,325107.0
2015-05-22,79.94,80.05,79.9,79.91,109729.0
2015-05-21,80.17,80.32,80.12,80.3,76082.0
2015-05-20,80.25,80.33,80.0,80.13,184982.0
2015-05-19,80.64,80.69,80.46,80.46,133693.0
2015-05-18,81.1,81.12,80.93,80.96,63415.0
2015-05-15,81.19,81.48,81.13,81.42,33204.0
2015-05-14,81.63,81.67,81.41,81.54,40332.0
2015-05-13,81.47,81.61,81.42,81.54,200466.0
2015-05-12,80.89,81.1,80.88,81.07,46438.0
2015-05-11,81.07,81.07,80.85,80.89,26125.0
2015-05-08,81.21,81.21,81.04,81.16,29765.0
2015-05-07,81.39,81.47,81.06,81.13,124554.0
2015-05-06,81.25,81.48,81.21,81.34,72591.0
2015-05-05,80.84,81.16,80.69,81.06,87287.0
2015-05-04,80.9,80.94,80.8,80.91,44564.0
2015-05-01,81.03,81.13,80.78,80.85,140311.0
2015-04-30,81.25,81.45,81.06,81.38,101674.0
2015-04-29,81.61,81.93,81.54,81.63,171738.0
2015-04-28,81.6,81.82,81.58,81.75,115716.0
2015-04-27,81.42,81.72,81.36,81.6,103173.0
2015-04-24,81.54,81.76,81.49,81.73,55400.0
2015-04-23,80.94,81.36,80.94,81.31,50735.0
2015-04-22,81.14,81.18,81.01,81.02,155243.0
2015-04-21,81.13,81.34,81.1,81.22,41181.0
2015-04-20,81.59,81.64,81.37,81.5,71244.0
2015-04-17,81.6,81.84,81.55,81.81,74444.0
2015-04-16,81.61,81.78,81.38,81.62,74967.0
2015-04-15,81.48,81.8,81.4,81.56,182273.0
2015-04-14,81.35,81.59,81.33,81.38,205158.0
2015-04-13,80.85,80.97,80.71,80.94,75782.0
2015-04-10,80.88,80.94,80.79,80.85,45845.0
2015-04-09,80.94,80.96,80.5,80.54,94367.0
2015-04-08,81.12,81.12,80.8,80.95,186324.0
2015-04-07,80.87,80.88,80.71,80.79,180048.0
2015-04-06,81.7,81.71,81.22,81.35,471916.0
2015-04-02,81.2,81.23,81.1,81.14,56825.0
2015-04-01,81.09,81.36,81.06,81.21,44417.0
2015-03-31,81.01,81.13,80.91,81.02,122221.0
2015-03-30,81.09,81.1,80.86,80.92,278702.0
2015-03-27,81.6,81.71,81.52,81.59,74203.0
2015-03-26,81.69,81.72,81.42,81.55,91932.0
2015-03-25,81.42,81.45,81.24,81.39,105619.0
2015-03-24,81.27,81.29,81.02,81.21,97258.0
2015-03-23,81.21,81.27,81.08,81.15,211645.0
2015-03-20,80.46,81.04,80.46,80.98,308246.0
