Date,Open,High,Low,Close,Volume
2015-07-13,115.39,116.46,115.39,115.69,8006723.0
2015-07-10,116.04,116.72,115.76,116.05,13636624.0
2015-07-09,118.7,119.12,117.85,117.92,11108879.0
2015-07-08,120.02,120.56,119.5,120.29,9951815.0
2015-07-07,119.66,120.49,118.95,119.26,16160105.0
2015-07-06,118.05,118.65,117.06,118.15,10605806.0
2015-07-02,116.32,116.66,115.88,116.0,6682132.0
2015-07-01,115.82,116.36,115.43,115.62,12451476.0
2015-06-30,117.4,118.7,117.33,117.46,13469011.0
2015-06-29,116.96,118.67,116.46,118.28,17132910.0
2015-06-26,115.67,115.87,114.88,115.23,11672979.0
2015-06-25,116.59,117.08,116.19,116.54,8287821.0
2015-06-24,116.51,117.17,116.16,116.95,8600392.0
2015-06-23,115.73,116.96,115.69,115.95,8945108.0
2015-06-22,117.84,118.14,116.59,116.65,9768973.0
2015-06-19,118.51,119.18,118.49,119.08,10439248.0
2015-06-18,117.37,117.74,116.75,117.57,10123276.0
2015-06-17,118.5,118.63,117.25,118.15,13626103.0
2015-06-16,118.61,119.08,117.94,119.07,7046378.0
2015-06-15,118.89,119.06,117.74,118.14,8194180.0
2015-06-12,117.59,119.07,117.55,117.95,7863117.0
2015-06-11,116.56,117.97,116.24,117.95,13849269.0
2015-06-10,115.92,116.13,115.26,115.52,12183562.0
2015-06-09,117.06,117.13,116.11,116.54,12393893.0
2015-06-08,117.96,118.16,117.37,117.47,5333972.0
2015-06-05,117.84,118.57,117.38,117.6,11200153.0
2015-06-04,118.26,119.29,118.14,119.05,10859277.0
2015-06-03,118.39,118.6,117.2,117.52,14810887.0
2015-06-02,120.17,120.26,119.11,119.44,10076179.0
2015-06-01,122.11,122.38,120.69,121.13,13108065.0
2015-05-29,123.23,123.57,122.51,122.71,7911982.0
2015-05-28,122.5,123.03,122.22,122.44,6237616.0
2015-05-27,122.18,122.86,121.61,122.74,6490255.0
2015-05-26,120.84,122.55,120.74,122.46,10469658.0
2015-05-22,120.65,120.75,119.8,120.4,5417933.0
2015-05-21,119.58,120.61,119.45,120.35,11760652.0
2015-05-20,118.77,119.45,118.18,118.69,7789665.0
2015-05-19,118.27,119.84,118.13,118.49,8435326.0
2015-05-18,120.32,120.43,119.47,119.55,10208341.0
2015-05-15,120.38,121.91,120.29,121.59,12630621.0
2015-05-14,118.92,119.83,118.69,119.2,9128441.0
2015-05-13,120.65,120.72,118.64,118.88,15759976.0
2015-05-12,119.14,120.63,118.82,119.84,15861707.0
2015-05-11,121.62,121.65,119.5,119.53,13738591.0
2015-05-08,123.38,123.55,122.31,122.51,11716437.0
2015-05-07,121.43,122.57,121.35,122.18,11933674.0
2015-05-06,121.99,122.06,120.37,120.56,14355025.0
2015-05-05,122.86,123.03,121.69,122.66,13935494.0
2015-05-04,124.3,124.53,122.72,122.83,9144659.0
2015-05-01,124.73,125.04,123.69,124.0,12378465.0
2015-04-30,125.04,126.17,124.51,125.95,12875959.0
2015-04-29,125.81,126.44,125.28,125.73,11554821.0
