Date,Open,High,Low,Close,Volume
2015-07-13,25.29,25.36,25.26,25.35,1643472.0
2015-07-10,25.04,25.17,25.03,25.1,2044147.0
2015-07-09,25.22,25.34,25.21,25.28,3374945.0
2015-07-08,25.22,25.28,25.18,25.2,1298356.0
2015-07-07,25.44,25.46,25.25,25.3,3096957.0
2015-07-06,25.29,25.29,25.15,25.22,1954761.0
2015-07-02,25.18,25.19,25.12,25.17,3496775.0
2015-07-01,25.16,25.25,25.12,25.23,2330209.0
2015-06-30,24.91,25.07,24.9,25.03,7634074.0
2015-06-29,25.03,25.06,24.8,24.86,3796053.0
2015-06-26,25.03,25.07,24.96,25.0,1349399.0
2015-06-25,24.95,24.98,24.92,24.93,2613479.0
2015-06-24,25.01,25.03,24.93,24.97,1201063.0
2015-06-23,25.05,25.06,24.94,25.02,2062323.0
2015-06-22,24.67,24.75,24.6,24.73,4485354.0
2015-06-19,24.68,24.71,24.64,24.68,1866053.0
2015-06-18,24.55,24.7,24.54,24.62,3449439.0
2015-06-17,24.87,24.97,24.66,24.7,3489328.0
2015-06-16,24.92,24.97,24.89,24.92,2510212.0
2015-06-15,25.01,25.01,24.86,24.87,3983747.0
2015-06-12,24.99,25.01,24.84,24.89,1882307.0
2015-06-11,24.99,25.04,24.89,24.91,2166774.0
2015-06-10,24.8,24.91,24.79,24.84,3695613.0
2015-06-09,25.05,25.09,24.95,24.98,1720810.0
2015-06-08,25.17,25.19,24.99,25.01,2181902.0
2015-06-05,25.44,25.46,25.26,25.3,9123687.0
2015-06-04,25.06,25.1,24.96,25.08,2653690.0
2015-06-03,25.21,25.21,25.02,25.05,2798067.0
2015-06-02,25.29,25.3,25.13,25.22,2613036.0
2015-06-01,25.49,25.67,25.47,25.61,1924190.0
2015-05-29,25.49,25.53,25.42,25.46,1380590.0
2015-05-28,25.61,25.67,25.47,25.5,2598535.0
2015-05-27,25.67,25.68,25.53,25.57,2553494.0
2015-05-26,25.53,25.59,25.49,25.56,3438292.0
2015-05-22,25.22,25.3,25.22,25.28,2198466.0
2015-05-21,25.06,25.09,25.02,25.05,1373498.0
2015-05-20,25.11,25.17,25.04,25.09,3120729.0
2015-05-19,25.06,25.09,25.01,25.04,2874914.0
2015-05-18,24.63,24.77,24.63,24.75,1648872.0
2015-05-15,24.66,24.68,24.47,24.51,2638405.0
2015-05-14,24.5,24.64,24.5,24.55,2641321.0
2015-05-13,24.68,24.7,24.56,24.63,3241196.0
2015-05-12,24.85,24.86,24.78,24.85,1658056.0
2015-05-11,25.01,25.02,24.95,24.99,1624500.0
2015-05-08,24.87,24.99,24.85,24.91,2066765.0
2015-05-07,24.85,24.93,24.83,24.88,5211286.0
2015-05-06,24.83,24.85,24.69,24.75,4300308.0
2015-05-05,25.1,25.14,24.98,25.03,4566841.0
2015-05-04,25.07,25.14,25.07,25.1,1788918.0
2015-05-01,24.91,25.1,24.88,25.03,3059807.0
2015-04-30,25.07,25.1,24.86,24.91,4334072.0
2015-04-29,25.13,25.14,24.9,25.06,6270949.0
2015-04-28,25.39,25.39,25.25,25.28,3006628.0
2015-04-27,25.53,25.56,25.38,25.44,2261839.0
2015-04-24,25.52,25.63,25.48,25.52,2295708.0
2015-04-23,25.79,25.81,25.57,25.62,1236731.0
2015-04-22,25.77,25.84,25.76,25.81,693600.0
2015-04-21,25.89,25.9,25.7,25.81,1709932.0
2015-04-20,25.78,25.82,25.73,25.78,1430542.0
2015-04-17,25.72,25.73,25.61,25.63,1840491.0
2015-04-16,25.78,25.88,25.62,25.69,2882383.0
2015-04-15,26.01,26.1,25.86,25.89,1838835.0
2015-04-14,26.02,26.02,25.9,26.01,1565520.0
2015-04-13,26.22,26.24,26.17,26.21,3787627.0
2015-04-10,26.17,26.22,26.12,26.17,2372829.0
2015-04-09,25.91,26.14,25.89,26.11,5820761.0
2015-04-08,25.65,25.87,25.65,25.84,1595937.0
2015-04-07,25.72,25.81,25.65,25.8,3336417.0
2015-04-06,25.4,25.6,25.36,25.51,4332513.0
2015-04-02,25.7,25.73,25.65,25.71,2079786.0
2015-04-01,25.86,25.98,25.84,25.91,1786994.0
2015-03-31,25.98,26.0,25.79,25.9,2205256.0
2015-03-30,25.8,25.87,25.75,25.86,2087317.0
2015-03-27,25.67,25.7,25.56,25.66,1464568.0
2015-03-26,25.49,25.72,25.46,25.64,1953853.0
2015-03-25,25.47,25.57,25.47,25.55,5766287.0
2015-03-24,25.56,25.68,25.56,25.62,1700082.0
2015-03-23,25.58,25.68,25.52,25.54,4322301.0
2015-03-20,25.88,25.94,25.69,25.82,5947131.0
2015-03-19,26.09,26.23,26.07,26.17,3046605.0
2015-03-18,26.3,26.3,25.77,25.78,6037584.0
2015-03-17,26.22,26.31,26.18,26.3,2263489.0
2015-03-16,26.32,26.36,26.22,26.29,3028399.0
2015-03-13,26.3,26.5,26.3,26.49,3128069.0
